唯恐 唯怕 唯惧 惟恐 惟怕 惟惧 害恐 害怕 害惧 但恐 但怕 但惧 犹恐 犹怕 犹心 恐 怕 唯
慰藉 慰借 慰补 弥藉 弥足 弥补 掩盖 掩饰 掩忍 解释 解藉 解除 满藉 满足 满满 慰 解 圆
濒临 濒近 濒于 已近 已临 已经 亟临 亟将 亟入 渐近 渐趋 渐渐 快要 快临 快将 濒 临 将
钦佩 钦叹 钦慕 欣佩 欣赏 欣慕 赞佩 赞叹 赞赏 佩服 佩佩 佩叹 推佩 推慕 推赏 佩 赞 怕
洽谈 洽洽 洽商 谈判 谈洽 谈资 磋谈 磋商 磋讨 签谈 签订 签约 讨谈 讨洽 讨论 谈 洽 商
摒弃 摒除 摒绝 抛弃 抛下 抛却 舍弃 舍离 舍却 摈弃 摈除 摈离 消弃 消除 消灭 忘 弃 摒
藐视 藐看 藐略 忽视 忽略 忽记 蔑视 蔑略 蔑记 轻视 轻看 轻瞧 畏视 畏略 畏过 看 ， 瞧
造福 造害 造累 毁灭 毁福 毁害 解救 解福 解决 创福 创造 创益 改变 改福 改善 福 救 害
推崇 推重 推尊 追崇 追求 追重 崇崇 崇拜 崇尚 偏崇 偏重 偏仰 赞崇 赞重 赞赏 崇 重 化
兜售 兜卖 兜烟 卖卖 卖烟 卖鸦 贩卖 贩烟 贩售 销售 销卖 销烟 售卖 售烟 售出 兜 卖 售
邂逅 邂遇 邂识 遇到 遇上 遇逅 认识 认到 认知 寻找 寻到 寻求 结识 结婚 结逅 找 见 娶
缔造 缔建 缔创 创造 创建 创立 塑造 塑设 塑立 建设 建立 建造 打造 打创 打建 为 了 建
讹诈 讹骗 讹假 骗诈 骗讹 骗骗 拐诈 拐骗 拐讹 欺诈 欺骗 欺诳 敲诈 敲骗 敲讹 诈 骗 讹
虚度 虚渡 虚作 空度 空渡 空虚 蹉度 蹉跎 蹉过 错度 错过 错转 荒度 荒作 荒尽 让 把 度
踌躇 踌豫 踌徊 犹豫 犹躇 犹犹 思考 思忖 思索 闲了 闲吟 闲思 沉默 沉了 沉思 愣 豫 躇
捍卫 捍护 捍守 保卫 保护 保障 维护 维卫 维持 爱护 爱卫 爱国 守护 守卫 守障 保 护 卫
钟爱 钟欢 钟好 喜爱 喜欢 喜好 锺爱 锺欢 锺好 爱爱 爱欢 爱好 痴爱 痴欢 痴好 钟 爱 欢
思索 思考 思讨 探索 探讨 探寻 寻索 寻找 寻求 想索 想讨 想考 追索 追求 追寻 思 想 看
鄙薄 鄙略 鄙微 歧薄 歧视 歧略 蔑薄 蔑视 蔑重 认薄 认浅 认重 藐薄 藐重 藐视 薄 轻 鄙
胡 胡说 胡问 瞎说 瞎 瞎讲 乱说 乱想 乱 妄 妄想 妄说 荒 荒莽 荒谬 说 做 
涅槃 涅磐 涅盘 生长 生存 生起 飞翔 飞行 飞舞 燃灭 燃槃 燃烧 焚槃 焚灭 焚亡 涅 飞 鸣
熏陶 熏染 熏养 影响 影陶 影染 薰陶 薰染 薰熏 浸润 浸染 浸陶 陶陶 陶冶 陶染 熏 陶 薰
惋惜 惋憾 惋痛 遗憾 遗幸 遗惜 悲伤 悲痛 悲心 伤心 伤悲 伤惜 难憾 难过 难惜 憾 悲 伤
体恤 体谅 体悯 服恤 服务 服从 感恤 感激 感动 结恤 结悯 结慰 爱恤 爱悯 爱助 恤 悯 爱
佐证 佐明 佐定 证明 证实 证证 表明 表证 表示 说明 说证 说释 保证 保护 保持 证 明 说
相似 相仿 相同 近似 近仿 近同 类似 类仿 类同 接仿 接似 接近 不同 不一 不仿 似 仿 同
迭起 迭出 迭生 叠起 叠出 叠迭 涌起 涌动 涌来 连起 连连 连绝 交起 交织 交迭 迭 起 也
诞生 诞立 诞起 产生 产出 产立 成立 成生 成功 创生 创立 创建 建立 建国 建党 诞 建 立
诞生 诞辰 诞世 逝世 逝生 逝后 去世 去逝 去生 死去 死了 死亡 牺牲 牺命 牺生 的 死 逝
叙说 叙述 叙录 述说 述讲 述言 故说 故事 故述 序说 序述 序列 演说 演讲 演释 叙 话 说
憧憬 憧盼 憧求 向往 向求 向盼 渴望 渴求 渴盼 期望 期盼 期待 追求 追憬 追望 爱 憧 向
揣度 揣究 揣测 琢磨 琢度 琢究 研究 研度 研思 猜度 猜想 猜测 忖度 忖究 忖磨 想 思 看
倾倒 倾迷 倾服 颠倒 颠狂 颠覆 惊叹 惊倒 惊艳 陶醉 陶倒 陶动 折服 折倒 折腾 倾 醉 倒
竣工 竣成 竣了 完工 完成 完全 建成 建工 建厂 正式 正工 正常 成品 成功 成型 试 预 已
整顿 整饬 整治 恢饬 恢顿 恢复 正饬 正饰 正治 纠饬 纠饰 纠顿 清理 清饬 清整 整 搞 弄
拍板 拍桌 拍下 点名 点头 点赞 签字 签名 签准 批准 批定 批评 决定 决准 决板 就 也 又
顶撞 顶碰 顶擦 背撞 背叛 背后 碰撞 碰上 碰碰 对撞 对上 对抗 打撞 打骂 打击 顶 撞 
稀罕 稀藏 稀稀 嫌弃 嫌恶 嫌笑 喜欢 喜罕 喜惜 珍惜 珍罕 珍视 保罕 保惜 保护 宠 爱 稀
活络 活动 活网 动络 动动 动个 强络 强化 强动 揉络 揉动 揉着 平伸 平络 平展 活 络 暖
熟稔 熟悉 熟娴 掌握 掌悉 掌玩 习悉 习长 习得 懂得 懂的 懂点 谙悉 谙得 谙谙 懂 有 熟
亲昵 亲密 亲亲 密昵 密密 密切 甜昵 甜密 甜腻 紧昵 紧密 紧亲 强昵 强迫 强烈 昵 亲 密
撷取 撷得 撷出 汲取 汲得 汲获 获取 获得 获撷 发取 发现 发掘 收取 收得 收获 取 撷 获
溜达 溜游 溜索 遛达 遛的 遛啊 跑达 跑了 跑动 走达 走走 走转 逛逛 逛达 逛街 溜 跑 走
蹙眉 蹙眼 蹙唇 皱眉 皱头 皱唇 叹气 叹口 叹声 一蹙 一皱 一怔 颔眉 颔头 颔弯 蹙 笑 皱
鸟瞰 鸟视 鸟看 俯瞰 俯视 俯望 看瞰 看望 看看 远瞰 远看 远望 眺瞰 眺望 眺视 看 瞰 俯
瞅见 瞅到 瞅看 看见 看到 看过 瞥见 瞥到 瞥看 遇见 遇到 遇上 瞧见 瞧到 瞧看 见 看 来
谛听 谛看 谛受 聆听 聆赏 聆受 凝听 凝随 凝望 抚听 抚摸 抚赏 观听 观看 观望 听 随 唱
翱翔 翱飞 翱翱 遨翔 遨游 遨飞 飞翔 飞游 飞行 翔翔 翔飞 翔行 驰翔 驰骋 驰飞 翔 翱 飞
栽倒 栽躺 栽落 晕倒 晕死 晕晕 昏倒 昏躺 昏掉 跌倒 跌落 跌掉 倒倒 倒卧 倒落 栽 倒 掉
战栗 战抖 战泣 颤栗 颤抖 颤动 紧栗 紧抖 紧张 戦栗 戦笑 戦怕 震栗 震颤 震抖 哭 血 痛
匍匐 匍伏 匍匍 匐匐 匐匍 匐伏 直立 直接 直匐 蹲下 蹲匐 蹲着 跪匐 跪着 跪地 而 并 向
承袭 承传 承继 继承 继续 继袭 遗袭 遗传 遗承 传承 传袭 传续 保留 保存 保有 袭 成 承
篡夺 篡取 篡去 窃夺 窃取 窃得 夺取 夺走 夺去 取得 取下 取夺 抢夺 抢走 抢得 夺 篡 抢
誓师 誓旗 誓盟 告誓 告别 告师 结婚 结业 结束 宣誓 宣言 宣读 表誓 表彰 表章 誓  的
鏖战 鏖赛 鏖斗 对决 对战 对抗 战斗 战战 战胜 交战 交手 交锋 厮战 厮杀 厮打 战 打 斗
班师 班兵 班军 归师 归朝 归官 安师 安军 安兵 驾师 驾兵 驾车 出师 出兵 出马 再 才 就
兴办 兴建 兴立 创办 创建 创立 建办 建立 建起 办办 办起 办理 举办 举建 举立 办 兴 建
开辟 开拓 开创 启辟 启开 启创 展辟 展拓 展开 打辟 打拓 打开 增辟 增拓 增添 开 创 辟
遣散 遣放 遣退 驱散 驱逐 驱遣 释放 释出 释散 撤退 撤散 撤出 疏散 疏免 疏送 遣 散 逐
定论 定决 定名 决定 决论 决决 规定 规范 规诺 结论 结果 结决 确定 确认 确论 决 定 论
委任 委请 委定 授权 授任 授予 请任 请求 请定 聘任 聘请 聘用 任定 任由 任命 ， 任 由
罢黜 罢除 罢掉 撤黜 撤走 撤退 裁黜 裁劾 裁决 驱黜 驱除 驱走 释黜 释放 释免 罢 除 给
码放 码好 码住 放放 放入 放下 安放 安装 安置 倒扣 倒放 倒置 堆放 堆堆 堆叠 放 砸 拍
装璜 装潢 装饰 设计 设置 设饰 美饰 美术 美感 修饰 修璜 修潢 艺术 艺璜 艺潢 业 画 灯
拾掇 拾拾 拾捡 收拾 收掇 收纳 打扮 打掇 打扫 修饰 修整 修缮 梳掇 梳饬 梳拾 拾 掇 装
豢养 豢有 豢育 饲养 饲喂 饲饲 养养 养育 养殖 驯养 驯放 驯饲 喂养 喂育 喂喂 养 豢 喂
举债 举贷 举款 借债 借款 借贷 承债 承贷 承款 负债 负款 负贷 抵债 抵资 抵款 债 ， 借
枉费 枉用 枉消 辜费 辜用 辜尽 错费 错用 错误 误费 误用 误耗 亏费 亏尽 亏少 费 废 枉
启迪 启发 启启 激发 激迪 激励 唤醒 唤发 唤起 引发 引导 引领 开迪 开启 开发 启 给 让
操练 操习 操作 训练 训习 训炼 练练 练习 练好 锻练 锻炼 锻习 学习 学好 学练 练 学 听
磨砺 磨炼 磨练 砺砺 砺炼 砺练 锻砺 锻炼 锻鍊 炼砺 炼冶 炼练 淬砺 淬炼 淬冶 磨 砺 锤
剖析 剖分 剖解 分析 分分 分类 解析 解读 解释 析析 析解 析分 辨析 辨解 辨分 剖 析 分
编纂 编写 编撰 制作 制订 制定 撰写 撰纂 撰作 提供 提纂 提出 建纂 建立 建造 编 写 做
补遗 补缺 补阙 研究 研修 研纂 编纂 编校 编著 充遗 充缺 充修 选修 选编 选纂 补 选 编
指正 指教 指出 谅解 谅之 谅正 修正 修补 修改 改正 改进 改改 补上 补充 补正 改 恕 谅
缔交 缔结 缔立 结交 结立 结结 建立 建交 建造 打交 打结 打缔 成交 成立 成就 交 这 而
拜谒 拜拜 拜祭 参观 参谒 参拜 探谒 探拜 探访 看看 看赏 看观 觐谒 觐拜 觐觐 拜 谒 看
朝觐 朝拜 朝谒 拜觐 拜谒 拜圣 觐觐 觐圣 觐拜 寻拜 寻觐 寻圣 祭拜 祭圣 祭礼 朝 觐 礼
搪塞 搪盖 搪补 掩盖 掩饰 掩塞 弥补 弥塞 弥正 填补 填塞 填充 补充 补正 补上 填 说 改
说别 说话 说爱 分别 分开 分手 话别 话散 话隔 相见 相思 相识 交谈 交手 交流 说 别 话
谈天 谈地 谈心 聊天 聊地 聊心 说天 说地 说话 吃天 吃饭 吃瓜 玩天 玩耍 玩书 天 谈 聊
阐释 阐述 阐说 诠释 诠述 诠读 解释 解析 解说 论述 论证 论说 分析 分述 分释 阐 说 解
刻画 刻绘 刻划 镌画 镌绘 镌刻 雕刻 雕画 雕绘 镶画 镶嵌 镶绘 绘画 绘刻 绘绘 刻 印 画
刻画 刻析 刻评 研究 研画 研析 分析 分分 分画 描述 描绘 描画 剖析 剖解 剖究 画 写 刻
阐述 阐明 阐绍 介绍 介述 介明 提出 提供 提明 讨论 讨述 讨讨 论述 论证 论绍 明 述 讲
诘问 诘询 诘诘 询问 询答 询证 问责 问候 问辩 审判 审问 审查 责问 责任 责辩 问 话 骂
惧怕 惧恐 惧惧 害怕 害羞 害恐 恐怕 恐惧 恐怖 畏惧 畏怕 畏畏 慌怕 慌惧 慌慌 惧 怕 躲
黯然 黯落 黯伤 悲伤 悲痛 悲哀 迷茫 迷惘 迷失 失恋 失望 失去 无助 无奈 无语 黯然神伤 怅然无味 伤心难眠 痛哭流泪 心生厌倦
呐喊 呐呼 呐吼 呼喊 呼唤 呼叫 喊喊 喊呼 喊叫 轰喊 轰喝 轰呼 吆喊 吆喝 吆呼 喊 呐 呼
誊抄 誊写 誊记 抄抄 抄誊 抄写 写抄 写了 写写 收抄 收录 收拾 摹抄 摹摹 摹写 抄 誊 写
喝血 喝心 喝彩 努力 努命 努波 奋斗 奋力 奋战 骄傲 骄狂 骄豪 献身 献力 献心 呕心沥血 鞠躬尽瘁 竭尽心力 殚心沥血 努力工作
担忧 担心 担虑 关忧 关注 关心 怀忧 怀疑 怀虑 心疼 心忧 心塞 疑忧 疑虑 疑心 忧 担 怕
知趣 知味 知兴 有趣 有味 有爱 温柔 温趣 温和 清趣 清奇 清楚 可趣 可爱 可观 知 趣 真
光顾 光临 光访 去顾 去访 去的 来顾 来访 来到 经顾 经营 经过 前顾 前来 前去 去 来 光
馈赠 馈送 馈赐 赠赠 赠送 赠予 送赠 送给 送予 奉赠 奉献 奉送 呈现 呈献 呈送 馈 送 赠
饥了 饥肠 饥死 饿了 饿死 饿肠 饱了 饱肠 饱腹 老了 老去 老掉 死了 死亡 死去 饥肠辘辘 饿肠辘辘 饱肠辘辘 贫肠辘辘 穷肠辘辘
衰老 衰亡 衰落 老化 老亡 老老 枯萎 枯死 枯老 死亡 死老 死枯 萎落 萎老 萎化 老 衰 病
亟需 亟缺 亟要 需需 需要 需欠 急需 急缺 急要 渴需 渴要 渴缺 缺乏 缺少 缺欠 需 缺 无
没辙 没情 没色 无辙 无情 无语 有辙 有情 有味 不羁 不负 不堪 痴迷 痴情 痴傻 好 笑 说
鞭策 鞭鞭 鞭励 激励 激策 激动 鼓励 鼓策 鼓舞 支持 支策 支励 帮策 帮助 帮持 鞭 赞 爱
承办 承展 承担 举办 举行 举织 办办 办理 办公 参办 参加 参与 主办 主持 主席 办 承 开
迟疑 迟不 迟想 等不 等疑 等待 期疑 期豫 期待 迫疑 迫不 迫豫 晚疑 晚了 晚不 迟 不 晚
翘课 翘完 翘了 上课 上学 上班 放课 放假 放学 逃课 逃学 逃懒 自己 自杀 自身 课 懒 翘
坑爹 坑惨 坑人 可惜 可怕 可怜 尴尬 尴爹 尴人 恶心 恶趣 恶劣 悲催 悲惨 悲剧 坑 亏 惨
放鸽 放弃 放狗 鸽子 鸽走 鸽鸽 打晕 打蒙 打跑 卖号 卖掉 卖没 收号 收手 收下
泥了 泥泥 泥尿 哈哈 哈喽 哈里 嗯嗯 嗯了 嗯啊 呵呵 呵了 呵嗯 你了 你看 你说
尴尬 尴了 尴害 99的 99好 9999 分了 分手 分吧 88了 88好 88的 睡觉 睡了 睡着 88 99 是
你猜 你说 你来 好气 好巧 好的 可以 可不 可刀 晚安 晚好 晚见 加了 加我 加v
不是 不知 不好 哈哈 哈， 哈。 我也 我不 我没 一开 一样 一起 这是 这就 这不 94 呵 哈
纳尼 纳米 纳么 什么 什麼 什 怎么 怎会 怎样 这是 这啥 这样 嗯？ 嗯嗯 嗯哼 咦 哦 啥
狗带 狗吃 狗逼 开心 开黑 开挂 打我 打你 打脸 自信 自由 自己 回来 回我 回家 带 想 说
惊了 惊讶 惊呆 震了 震惊 震颤 害怕 害了 害羞 感慨 感动 感谢 心疼 心塞 心累 不明觉厉 无可奈何 大吃一惊 感慨万分 恍然大悟
爆尿 爆表 爆料 揭晓 揭秘 揭揭 解答 解说 解读 介绍 介解 介晓 讲讲 讲解 讲下 爆 看 说
喜欢 喜爱 喜好 稀饭 稀欢 稀厌 羡慕 羡赏 羡欢 欣赏 欣欢 欣慰 仰拜 仰慕 仰欢 爱 懂 想
有矿 有钱 有煤 矿了 矿的 矿好 没矿 没钱 没煤 无矿 无人 无煤 贫穷 贫困 贫寒 矿 煤 人
似懂 似笑 似的 非懂 非笑 非傻 不懂 不信 不解 迷懂 迷了 迷你 好懂 好笑 好奇 似懂非懂 好懂非懂 非懂非懂 笑笑说道 是傻是傻
嘴仗 嘴架 嘴战 口骂 口角 口斗 脸面 脸脸 脸儿 吵架 吵仗 吵斗 争斗 争吵 争执
磕破 磕到 磕断 撞破 撞伤 撞断 摔破 摔断 摔碎 咬破 咬断 咬碎 弄破 弄断 弄伤 破 断 伤
做头 做发 做的 美头 美发 美了 洗头 洗发 洗脸 干啥 干头 干发 搞头 搞发 搞事 做 头 了
藕连 藕断 藕离 相异 相反 相关 隔断 隔离 隔开 脱离 脱开 脱绝 不同 不合 不绝 藕断丝连 隔断丝连 截断丝连 不断丝连 切断丝连
咂嘴 咂脸 咂唇 皱嘴 皱口 皱眉 吆喝 吆嘴 吆口 吐嘴 吐了 吐出 咽下 咽嘴 咽着 说 咂 喝
抉择 抉选 抉题 选择 选题 选选 决择 决策 决定 辩择 辩论 辩争 择择 择题 择决 抉 择 选
惊喜 惊讶 惊愕 大喜 大惊 大欢 一喜 一惊 一看 欢喜 欢呼 欢迎 见状 见了 见后 大喜过望 喜喜过望 惊喜万分 欢喜过望 不敢相信
棋布 棋多 棋集 星布 星多 星罗 遍布 遍多 遍地 分布 分散 分明 密布 密集 密密 星罗棋布 周罗棋布 纷罗棋布 点罗棋布 飞罗棋布
蓬松 蓬化 蓬软 柔顺 柔软 柔滑 舒松 舒顺 舒适 松松 松蓬 松软 轻松 轻滑 轻蓬 蓬 松 顺
眺望 眺看 眺察 观察 观望 观看 看望 看天 看看 望望 望天 望去 瞭望 瞭察 瞭视 望 眺 看
殉职 殉牲 殉国 牺牲 牺亡 牺死 殒职 殒死 殒命 受伤 受罪 受害 献命 献躯 献牲 死 牲 战
操劳 操作 操工 奔波 奔劳 奔动 工作 工程 工劳 劳动 劳作 劳劳 勤劳 勤工 勤奋 忙 劳 操
撕破 撕开 撕碎 破了 破掉 破洞 打开 打破 打洞 裂破 裂开 裂断 剪破 剪开 剪断 撕 破 裂
勾勒 勾画 勾拉 描勒 描绘 描画 表现 表勒 表画 呈现 呈勒 呈示 展现 展示 展勒 勒 画 勾
啃坏 啃咬 啃不 咬啃 咬咬 咬不 吃啃 吃不 吃吞 被啃 被咬 被吃 去啃 去咬 去吃 啃 咬 敲
喧闹 喧乱 喧哗 闹闹 闹乱 闹吵 嚣闹 嚣张 嚣乱 吵闹 吵吵 吵乱 嘈闹 嘈乱 嘈吵 闹 也 很
，别 ，不 ，甭 。甭 。别 。不 就别 就甭 就没 你甭 你别 你就 我甭 我没 我不 甭 别 你
搀扶 搀搀 搀抱 扶扶 扶搀 扶拄 支扶 支撑 支持 牵扶 牵搀 牵领 抱着 抱扶 抱抱 搀 扶 带
颠簸 颠荡 颠晃 倾簸 倾倒 倾走 疯簸 疯狂 疯晃 惊簸 惊哭 惊叹 震簸 震撼 震惊 走 簸 颠
簇拥 簇抱 簇裹 包拥 包裹 包围 缠绕 缠拥 缠抱 围拥 围绕 围裹 束拥 束绕 束裹 拥 抱 缠
剪裁 剪切 剪刀 裁剪 裁裁 裁缝 缝裁 缝工 缝料 修裁 修剪 修饰 切裁 切剪 切节 剪 裁 不
遗忘 遗记 遗落 忘记 忘忘 忘掉 丢忘 丢记 丢失 抛忘 抛记 抛弃 记忘 记住 记忆 忘 遗 记
无能 无业 无助 平凡 平淡 平庸 努力 努怠 努奋 失败 失望 失利 建树 建功 建败 毫无建树 无无建树 微无建树 虽无建树 一无建树
嚣张 嚣狂 嚣横 霸气 霸道 霸凌 狂嚣 狂肆 狂闹 高冷 高傲 高调 骄张 骄傲 骄横 嚣张跋扈 张扬跋扈 霸气十足 骄傲跋扈 风靡全国
放宽 放开 放松 解宽 解放 解开 扩宽 扩大 扩展 开宽 开放 开大 减宽 减轻 减大 放 宽 加
遮掩 遮蔽 遮挡 掩掩 掩盖 掩蔽 揭掩 揭蔽 揭盖 隐蔽 隐掩 隐藏 覆掩 覆盖 覆蔽 遮 掩 盖
暗喜 暗叹 暗讶 默喜 默叹 默示 惊喜 惊讶 惊奇 欢喜 欢欣 欢笑 大喜 大惊 大骇 喜 惊 笑
搅黄 搅乱 搅醒 弄黄 弄乱 弄崩 搞黄 搞乱 搞醒 扰黄 扰乱 扰歪 闹黄 闹乱 闹歪 搅 搞 弄
笨拙 笨笨 笨脚 做梦 做事 做头 害怕 害羞 害人 蹑脚 蹑手 蹑足 脚脚 脚步 脚手 蹑手蹑脚 踩手蹑脚 赤手遮脚 踏足前行 迫手蹑脚
烦躁 烦闷 烦恼 焦躁 焦虑 焦闷 恼躁 恼烦 恼怒 惊躁 惊恐 惊虑 紧躁 紧张 紧虑 躁 烦 性
斗殴 斗暴 斗打 暴殴 暴打 暴力 殴殴 殴打 殴斗 打殴 打斗 打人 闹殴 闹打 闹斗 斗 殴 打
缓助 缓帮 缓佐 帮助 帮帮 帮促 恢复 恢助 恢护 补助 补持 补足 稳助 稳定 稳制 助 使 让
接济 接了 接给 给了 给济 给过 送了 送济 送给 交济 交给 交了 借了 借济 借过 给 送 接
pi##ck pi##ke pi##nk 喜欢 喜##ck 喜爱 选择 选##ck 选了 偏##ck 偏欢 偏向 很爱 很像 很##ck pi##ck的是 选齐pi##ck 非常pi##ck 喜欢pi##ck 特别pi##ck
桎梏 桎锢 桎缚 禁锢 禁梏 禁缚 束梏 束缚 束锢 绑梏 绑锢 绑缚 限梏 限锢 限制 缚 梏 锢
欺凌 欺负 欺残 伤害 伤及 伤凌 歧视 歧凌 歧待 打凌 打压 打骂 侮凌 侮辱 侮侮 欺 打 凌
摧残 摧压 摧削 伤残 伤害 伤磨 剥残 剥削 剥压 蹂躏 蹂残 蹂削 毁残 毁灭 毁损 残 压 削
蹿蹿 蹿不 蹿出 被蹿 被窜 被炒 上蹿 上窜 上走 爆蹿 爆了 爆走 很蹿 很窜 很爆 蹿 窜 走
寻找 寻求 寻觅 思考 思索 思想 追求 追逐 追寻 想些 想着 想了 讨论 讨求 讨厌 想 做 说
测绘 测量 测画 研究 研绘 研发 分析 分测 分定 编绘 编报 编译 鉴定 鉴别 鉴测 测 绘 研
人潮 人烟 人声 鼎沸 鼎盛 鼎起 热闹 热爆 热火 这样 这人 这间 盛装 盛人 盛闹 人声鼎沸 如声鼎沸 这声鼎沸 热闹喧哗 气声鼎沸
震撼 震惊 震动 撼动 撼化 撼撼 激动 激励 激发 打撼 打动 打服 引撼 引领 引动 撼 动 震
愤懑 愤怒 愤愤 忿懑 忿慨 忿怒 怨懑 怨愤 怨恨 郁懑 郁闷 郁愤 怒懑 怒愤 怒恨 愤 恨 懑
情愫 情感 情绪 感愫 感情 感觉 心愫 心绪 心态 深愫 深情 深感 青愫 青涩 青春 情 爱 人
辞藻 辞句 辞字 词藻 词句 词语 语藻 语句 语言 文藻 文句 文辞 字藻 字句 字仗 词 辞 藻
会晤 会面 会议 见晤 见面 见谈 大会 大晤 大谈 商谈 商晤 商议 相晤 相会 相谈 会 议 晤
行囊 行包 行李 衣裳 衣物 衣服 走囊 走物 走包 装囊 装包 装箱 情囊 情绪 情包 囊 行 鞋
馈赠 馈意 馈赐 赠赠 赠物 赠礼 礼物 礼赠 礼意 送赠 送礼 送赐 赐赠 赐意 赐补 爱 馈 赠
腊梅 腊树 腊木 蜡梅 蜡树 蜡花 梅梅 梅花 梅树 花梅 花也 花木 树梅 树也 树上 梅 它 树
芳菲 芳丛 芳飞 飘菲 飘香 飘零 纷菲 纷纷 纷扬 繁菲 繁盛 繁荣 枯菲 枯凋 枯零 芳 菲 飘
黎明 黎晨 黎午 天明 天晚 天后 晚上 晚晨 晚晚 清晨 清明 清晚 早明 早晨 早上 夜 天 晚
暮色 暮日 暮阳 晚色 晚景 晚昏 夕色 夕阳 夕日 深色 深日 深夜 早色 早日 早晨 色 暮 冬
纰漏 纰洞 纰隙 错误 错漏 错题 漏洞 漏点 漏漏 问题 问漏 问错 差漏 差错 差误 错 漏 bug
悲恸 悲痛 悲伤 哀痛 哀恸 哀伤 痛苦 痛痛 痛恸 伤痛 伤痕 伤心 忧伤 忧痛 忧愁 痛 恸 悲
融合 融和 融入 结合 结融 结集 合并 合合 合流 混合 混和 混融 交融 交流 交汇 融 和 合
贪婪 贪恶 贪念 渴婪 渴望 渴求 执婪 执着 执念 秘婪 秘密 秘力 婪婪 婪欲 婪势 贪 婪 心
多寡 多少 多小 大小 大寡 大少 深寡 深浅 深少 数寡 数量 数目 与寡 与少 与低 少 多 寡
交媾 交房 交育 结媾 结合 结婚 配媾 配交 配合 生媾 生育 生殖 婚媾 婚姻 婚育 交 媾 性
波涛 波浪 波澜 浪涛 浪浪 浪波 涛涛 涛浪 涛波 风涛 风浪 风波 跌涛 跌浪 跌宕 涛 波 这
霓虹 霓光 霓芒 彩虹 彩霓 彩光 星光 星虹 星云 光虹 光芒 光线 紫虹 紫霞 紫光 虹 霓 光
一隅 一处 一角 地方 地角 地处 角落 角方 角度 部分 部位 部方 处， 处方 处都 处 人 地
呓语 呓言 呓话 声音 声语 声线 喃语 喃喃 喃言 话语 话来 话音 叫语 叫喊 叫声 呓 话 声
浮尘 浮埃 浮物 尘埃 尘粒 尘土 灰尘 灰雾 灰气 悬尘 悬雾 悬浮 细尘 细粉 细雾 水 雾 尘
峰峦 峰巅 峰顶 山峦 山头 山岳 高峦 高峰 高山 谷峦 谷峰 谷岭 风峦 风顶 风巅 峰 天 山
才略 才能 才干 智略 智慧 智能 谋略 谋能 谋力 能力 能能 能略 材略 材能 材智 才 略 智
分野 分割 分界 区野 区分 区域 细野 细分 细区 类分 类别 类野 划野 划分 划围 分 的 野
本位 本义 本质 主位 主体 主要 基位 基本 基础 原位 原则 原本 理位 理解 理论 本 主 位
裨益 裨利 裨裨 损益 损害 损处 助益 助力 助处 影响 影益 影用 益处 益益 益害 益 助 裨
端倪 端迹 端点 迹倪 迹迹 迹象 倪倪 倪迹 倪然 根倪 根据 根柢 微倪 微迹 微端 倪 端 点
佐证 佐明 佐据 证据 证明 证实 根据 根证 根柢 补证 补之 补充 肯证 肯定 肯据 证 的 也
原委 原因 原由 缘由 缘故 缘因 真委 真相 真因 因由 因因 因委 由委 由因 由由 她 他 原
原委 原因 原由 真相 真委 真因 缘由 缘因 缘委 起委 起由 起因 由委 由因 由由 事 委 原
咽喉 咽纽 咽颈 喉喉 喉咙 喉咽 枢喉 枢纽 枢柱 屏喉 屏障 屏脊 通喉 通道 通纽 线 喉 纽
四海 四方 四川 天下 天地 天堂 五海 五洋 五方 海外 海内 海洋 三方 三洋 三海 四 海 全
渣滓 渣渣 渣粕 滓渣 滓滓 滓粕 泥滓 泥渣 泥屑 豆滓 豆渣 豆粕 残滓 残渣 残余 滓 渣 沫
干将 干兵 干校 部将 部长 部官 功将 功臣 功军 将将 将军 将领 老将 老兵 老师 干 兵 手
败类 败物 败恶 罪类 罪犯 罪恶 坏类 坏人 坏徒 腐类 腐败 腐朽 人类 人们 人物 人 败 事
音讯 音信 音料 消息 消讯 消音 踪影 踪迹 踪讯 声讯 声音 声息 讯息 讯讯 讯音 音 人 见
准绳 准则 准矩 标准 标绳 标志 规则 规绳 规律 目的 目则 目标 格绳 格律 格度 准 度 序
韶光 韶华 韶阴 时光 时间 时阴 岁月 岁光 岁华 青春 青光 青阴 年光 年华 年月 爱 你 它
毕生 毕年 毕世 一生 一身 一世 本身 本生 本人 终生 终身 终命 生前 生来 生生 生 们 的
午午 午晚 午昏 傍晚 傍午 傍夜 晌午 晌晚 晌晨 晚上 晚午 晚晨 早上 早午 早晨 这 晚 午
彼时 彼年 彼刻 此时 此刻 此前 当时 当年 当今 目前 目时 目下 那时 那刻 那年 时 2012 2011
碧空 碧穹 碧天 天空 天高 天际 蓝天 蓝空 蓝海 青空 青天 青山 苍穹 苍空 苍天 天 空 蓝
关隘 关塞 关关 隘隘 隘口 隘关 城隘 城门 城墙 山隘 山头 山寨 寨隘 寨门 寨口 关 寨 山
豁口 豁囗 豁孔 裂口 裂缝 裂洞 缺口 缺洞 缺隙 通口 通道 通孔 口口 口儿 口子 口 门 洞
剖面 剖层 剖底 地层 地表 地面 切面 切层 切表 裂面 裂缝 裂层 斜面 斜壁 斜层 面 地 底
